definition_key,defining_subtopic,slug,sha256,links
320-10 TradingSecurities,320-10,trading-securities,a27126b7b83accf96588d9170de0e5c9c0f1c70e60af8f2dbc0b805fad544bd6,8
323-10 CorporateJointVenture,323-10,corporate-joint-venture,9291a24aee757163b761553221e69eef9aeb34a574bfbe16e465ea6df1eea048,40
323-10 Dividends,323-10,dividends,c5b1ab858c3d5c4cecba68e1c84d55be475707f81e64c3ba799b7408cd3fca86,3
323-10 EarningsorLossesofanInvestee,323-10,earnings-or-losses-of-an-investee,259e9cebdb6012bda2adea192950ae54d6f0a7459fbb521ca53b11f37da1654a,1
323-10 In-substanceCommonStock,323-10,in-substance-common-stock,6d190c08d645939fca5c9d45391beccef89db58359179197d25f3262ad27da91,6
323-10 Investee,323-10,investee,b3d733e3256e81acd61f9c7a6d6ac99488dd67f3489c5271aeb650035141f84f,9
323-10 Investor,323-10,investor,15537a913473d42ed16dd366bb7d66759ad9a9d8cb803932fc4d4750ec669298,9
323-10 SignificantInfluence,323-10,significant-influence,e45e458b37b258c865968254c87d672874b72d4a72094fc8b90619c855635f47,8
323-10 StandstillAgreement,323-10,standstill-agreement,8d86a13eb3ebc4765d9fe7d7ad66efc9ac155177dbc8bef77a5cc14221e5e38a,1
325-30 CashSurrenderValue,325-30,cash-surrender-value,c3ef93abe05c62d2b287181bd574b12c0b8c79d353d24cea0dfb833a5c0eb3b2,9
325-30 Certificates,325-30,certificates,e6b8b2a2e79e51c184d18d2a542cd2676acbd16dd4745fc7b3e66c422948fdaf,3
325-30 ClaimsStabilizationReserve,325-30,claims-stabilization-reserve,d378a39b2fe5e5e5ed407fc5555c07f247fbb26bdb848b3a175e98ec585438c4,1
325-30 DeferredAcquisitionCostsTax,325-30,deferred-acquisition-costs-tax,e91741026ef98898d753d8085349af40e8492cbe02e5ea1e0100d2fc91904120,1
325-30 InsurancePolicy,325-30,insurance-policy,142c15d30621a0a18a8be97057e2e1cbb9fe22f84b780c0d5c3cc39a6bc86e13,3
325-30 LifeSettlementContract,325-30,life-settlement-contract,3da65399e132b23333145af9fef25f8889b28670ba7c95fe2f6cac2723339482,7
325-30 PolicyAccountBalance,325-30,policy-account-balance,0a388256ea37ae931090961d4f57af57fcd1a74455282669505131be999c09b3,3
325-30 SurrenderCharge,325-30,surrender-charge,2f03be79258555fd8053fb7d5f177b3a1eba8182ff8008d049e80a3680291f2e,3
330-10 Inventory,330-10,inventory,75d507e3a9674ebcf088c3b3b696738c566ef44980637d23b5323b8239a60f0e,17
330-10 Market,330-10,market,5d0236254fc859d2c5de7eb12470c12da9659066fb96c9eb2d36b2161fc4bd6d,4
340-30 AssumingEntity,340-30,assuming-entity,e8b0b3988dde9ec3c0826bb46e04c2c430e4dc8a39b579a37164a54c611978fe,2
340-30 CedingEntity,340-30,ceding-entity,01b8d91c4e38f514247367bfcaa560e661b28f710a95345a94f5af046dd20b00,4
340-30 ExperienceAdjustment,340-30,experience-adjustment,657c90cbeeef049d8749e1222f0f213c6d4eadb0b74f84694b477ef009316ae8,1
340-30 InsuranceRisk,340-30,insurance-risk,1d30c9af9bd083522fd567c0b184df6e1c14d6d19201a63c0efa8ef1c12e3b31,10
340-30 TimingRisk,340-30,timing-risk,750b8bdcce2ac8ed21c44e14c704cf66f4a15bc0f2a5a9dd3155a01708161aac,4
340-30 UnderwritingRisk,340-30,underwriting-risk,a3cb7222ed8a774d9fb78d7ee8e6a85fad3f41a78907eb5e38946312a6eeb306,10
